Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East,Saudi Arabia,Electronics,Online,H,2023-12-08,243319,2023-12-13,133,158.01,86.15,21015.33,11457.95,9557.38
Sub-Saharan Africa,Kenya,Electronics,Offline,C,2023-06-08,286263,2023-06-22,425,173.19,139.69,73605.75,59368.25,14237.5
Asia,China,Household,Offline,C,2023-11-08,253785,2023-11-19,491,47.13,29.67,23140.83,14567.97,8572.86
Europe,France,Beverages,Online,M,2023-09-16,604192,2023-09-21,160,145.2,90.47,23232.0,14475.2,8756.8
Asia,Japan,Household,Offline,C,2023-08-12,636740,2023-08-20,411,102.33,65.41,42057.63,26883.51,15174.12
South America,Chile,Baby Food,Offline,L,2023-06-10,217688,2023-06-22,448,170.41,87.38,76343.68,39146.24,37197.44
Middle East,Saudi Arabia,Office Supplies,Offline,M,2023-05-27,695067,2023-05-31,248,49.29,34.31,12223.92,8508.88,3715.04
South America,Brazil,Electronics,Offline,L,2023-03-29,210950,2023-04-02,62,73.9,42.07,4581.8,2608.34,1973.46
North America,Canada,Electronics,Offline,M,2023-08-04,105661,2023-08-16,300,121.66,72.33,36498.0,21699.0,14799.0
Sub-Saharan Africa,South Africa,Clothing,Online,C,2023-11-08,608674,2023-11-20,486,95.95,54.43,46631.7,26452.98,20178.72
Asia,Japan,Beverages,Online,C,2023-12-17,981148,2023-12-26,447,143.13,88.57,63979.11,39590.79,24388.32
Europe,United Kingdom,Household,Offline,H,2023-09-05,322257,2023-09-11,169,162.38,116.35,27442.22,19663.15,7779.07
Sub-Saharan Africa,Nigeria,Electronics,Online,M,2023-12-17,221378,2023-12-22,334,59.65,33.93,19923.1,11332.62,8590.48
North America,Canada,Baby Food,Offline,H,2023-10-29,316470,2023-11-03,184,104.41,56.52,19211.44,10399.68,8811.76
South America,Chile,Household,Offline,H,2023-11-27,942044,2023-12-03,92,171.05,127.08,15736.6,11691.36,4045.24
South America,Colombia,Household,Online,C,2023-09-17,187166,2023-09-21,60,171.23,135.75,10273.8,8145.0,2128.8
South America,Colombia,Beverages,Online,H,2023-12-05,334702,2023-12-11,134,149.63,87.29,20050.42,11696.86,8353.56
Asia,China,Household,Offline,L,2023-02-02,191776,2023-02-12,359,195.37,168.98,70137.83,60663.82,9474.01
Asia,India,Household,Online,H,2023-01-23,437980,2023-02-02,303,57.47,35.22,17413.41,10671.66,6741.75
North America,Canada,Beverages,Online,M,2023-08-26,102812,2023-09-03,480,13.78,12.1,6614.4,5808.0,806.4
North America,Canada,Beverages,Online,M,2023-05-08,582864,2023-05-16,34,72.27,49.42,2457.18,1680.28,776.9
Europe,Germany,Baby Food,Online,L,2023-03-02,441608,2023-03-08,108,176.15,123.13,19024.2,13298.04,5726.16
North America,Canada,Household,Online,M,2023-11-03,910144,2023-11-13,417,67.1,60.01,27980.7,25024.17,2956.53
Europe,Italy,Beverages,Offline,M,2023-02-23,815614,2023-03-06,167,117.72,62.63,19659.24,10459.21,9200.03
Europe,France,Baby Food,Online,M,2023-03-09,990284,2023-03-19,230,134.77,106.61,30997.1,24520.3,6476.8
Middle East,Saudi Arabia,Electronics,Offline,H,2023-12-13,259281,2023-12-18,301,80.08,67.14,24104.08,20209.14,3894.94
South America,Colombia,Household,Offline,H,2023-10-22,734407,2023-11-05,158,47.67,31.53,7531.86,4981.74,2550.12
Europe,Germany,Electronics,Online,C,2023-10-15,832749,2023-10-19,241,148.22,77.36,35721.02,18643.76,17077.26
South America,Argentina,Beverages,Offline,L,2023-04-09,162780,2023-04-17,179,39.68,26.3,7102.72,4707.7,2395.02
Europe,United Kingdom,Baby Food,Offline,M,2023-11-03,804717,2023-11-11,38,152.83,113.08,5807.54,4297.04,1510.5
North America,Canada,Office Supplies,Offline,H,2023-12-11,814253,2023-12-21,444,77.3,59.8,34321.2,26551.2,7770.0
North America,United States,Office Supplies,Online,L,2023-04-05,970467,2023-04-20,370,172.19,135.15,63710.3,50005.5,13704.8
South America,Brazil,Beverages,Online,H,2023-04-27,530863,2023-05-04,131,71.39,44.0,9352.09,5764.0,3588.09
Middle East,UAE,Household,Offline,L,2023-09-23,244871,2023-10-06,156,192.07,172.71,29962.92,26942.76,3020.16
North America,United States,Clothing,Offline,C,2023-11-12,136287,2023-11-26,373,94.34,73.68,35188.82,27482.64,7706.18
North America,Canada,Household,Online,C,2023-02-08,735046,2023-02-23,320,171.09,85.98,54748.8,27513.6,27235.2
Middle East,UAE,Office Supplies,Offline,M,2023-07-17,732925,2023-07-27,19,78.03,55.95,1482.57,1063.05,419.52
Sub-Saharan Africa,Kenya,Household,Offline,M,2023-11-05,156477,2023-11-13,416,195.34,107.29,81261.44,44632.64,36628.8
South America,Brazil,Baby Food,Offline,C,2023-04-01,346901,2023-04-12,179,17.25,13.25,3087.75,2371.75,716.0
Middle East,Saudi Arabia,Office Supplies,Offline,M,2023-01-28,540962,2023-02-04,386,125.54,86.02,48458.44,33203.72,15254.72
North America,Canada,Baby Food,Online,H,2023-12-18,116484,2023-12-21,91,51.47,45.19,4683.77,4112.29,571.48
Europe,Italy,Electronics,Online,M,2023-02-06,628525,2023-02-08,34,20.24,12.08,688.16,410.72,277.44
North America,United States,Office Supplies,Offline,L,2023-02-13,229986,2023-02-23,332,88.3,75.7,29315.6,25132.4,4183.2
Sub-Saharan Africa,Ghana,Clothing,Offline,H,2023-03-13,800979,2023-03-20,348,191.85,156.52,66763.8,54468.96,12294.84
North America,Canada,Household,Online,C,2023-12-12,565321,2023-12-17,426,73.43,52.34,31281.18,22296.84,8984.34
Middle East,UAE,Clothing,Online,M,2023-08-16,370281,2023-08-25,128,57.85,45.77,7404.8,5858.56,1546.24
Asia,Japan,Beverages,Online,M,2023-02-22,391755,2023-03-05,271,112.88,85.63,30590.48,23205.73,7384.75
North America,United States,Beverages,Offline,L,2023-06-26,256614,2023-07-02,21,34.32,21.21,720.72,445.41,275.31
Europe,Germany,Beverages,Offline,L,2023-05-11,787045,2023-05-22,95,65.93,41.02,6263.35,3896.9,2366.45
Asia,South Korea,Baby Food,Offline,C,2023-02-17,849809,2023-02-19,74,119.78,74.71,8863.72,5528.54,3335.18
Middle East,Turkey,Household,Online,C,2023-12-10,293462,2023-12-12,26,116.29,81.24,3023.54,2112.24,911.3
Europe,France,Household,Online,C,2023-12-15,534237,2023-12-29,43,142.12,94.3,6111.16,4054.9,2056.26
Middle East,UAE,Household,Online,L,2023-09-28,648935,2023-10-01,119,68.92,36.09,8201.48,4294.71,3906.77
Asia,India,Baby Food,Offline,C,2023-01-11,126465,2023-01-17,283,135.84,90.92,38442.72,25730.36,12712.36
Middle East,Saudi Arabia,Office Supplies,Offline,C,2023-01-28,956840,2023-02-02,349,136.13,98.48,47509.37,34369.52,13139.85
Middle East,Saudi Arabia,Electronics,Offline,M,2023-02-25,495496,2023-03-10,25,176.12,134.45,4403.0,3361.25,1041.75
North America,United States,Household,Offline,C,2023-08-09,508138,2023-08-21,244,112.27,97.27,27393.88,23733.88,3660.0
Asia,India,Baby Food,Offline,L,2023-08-06,407201,2023-08-17,420,36.73,24.72,15426.6,10382.4,5044.2
North America,Canada,Clothing,Offline,C,2023-12-29,608353,2024-01-11,254,105.44,91.48,26781.76,23235.92,3545.84
South America,Chile,Baby Food,Offline,M,2023-09-20,315131,2023-10-05,79,113.94,68.62,9001.26,5420.98,3580.28
Sub-Saharan Africa,Kenya,Baby Food,Online,L,2023-10-14,871736,2023-10-22,439,66.6,49.77,29237.4,21849.03,7388.37
North America,Canada,Electronics,Online,C,2023-05-05,272151,2023-05-18,370,66.34,37.34,24545.8,13815.8,10730.0
North America,United States,Household,Offline,M,2023-06-08,348416,2023-06-20,170,8.31,6.6,1412.7,1122.0,290.7
Middle East,Saudi Arabia,Electronics,Offline,C,2023-03-26,303435,2023-04-03,25,105.68,88.54,2642.0,2213.5,428.5
Europe,France,Beverages,Online,C,2023-08-25,658748,2023-09-02,382,120.66,84.84,46092.12,32408.88,13683.24
North America,Canada,Clothing,Online,L,2023-10-29,110062,2023-11-04,330,90.29,81.12,29795.7,26769.6,3026.1
Middle East,Turkey,Beverages,Offline,L,2023-07-10,436019,2023-07-14,456,5.75,3.87,2622.0,1764.72,857.28
Middle East,Turkey,Office Supplies,Online,M,2023-07-03,869793,2023-07-13,448,101.89,85.97,45646.72,38514.56,7132.16
Middle East,Saudi Arabia,Clothing,Online,H,2023-05-30,349922,2023-06-03,250,164.48,121.28,41120.0,30320.0,10800.0
Asia,India,Beverages,Online,C,2023-02-14,579144,2023-02-17,310,127.36,68.34,39481.6,21185.4,18296.2
Asia,Japan,Office Supplies,Offline,L,2023-03-27,453734,2023-04-05,401,21.87,13.18,8769.87,5285.18,3484.69
South America,Argentina,Electronics,Offline,H,2023-05-13,423491,2023-05-27,208,188.55,147.32,39218.4,30642.56,8575.84
Sub-Saharan Africa,Ghana,Household,Offline,H,2023-02-20,926904,2023-02-25,121,130.77,68.04,15823.17,8232.84,7590.33
Sub-Saharan Africa,Kenya,Baby Food,Offline,M,2023-07-17,411610,2023-07-23,257,98.31,49.28,25265.67,12664.96,12600.71
Europe,Spain,Household,Online,H,2023-07-02,539589,2023-07-08,362,89.41,52.5,32366.42,19005.0,13361.42
Asia,China,Baby Food,Offline,H,2023-02-22,767903,2023-02-28,117,123.34,73.07,14430.78,8549.19,5881.59
Europe,Italy,Electronics,Online,M,2023-02-21,394747,2023-03-05,438,105.23,70.56,46090.74,30905.28,15185.46
Asia,China,Electronics,Online,C,2023-04-09,555363,2023-04-12,35,76.61,60.2,2681.35,2107.0,574.35
Middle East,Turkey,Beverages,Offline,M,2023-08-31,823418,2023-09-13,46,10.06,6.5,462.76,299.0,163.76
North America,United States,Household,Online,H,2023-08-16,316049,2023-08-23,333,76.51,58.29,25477.83,19410.57,6067.26
North America,Mexico,Beverages,Offline,C,2023-06-11,339269,2023-06-15,452,167.05,99.0,75506.6,44748.0,30758.6
Sub-Saharan Africa,Nigeria,Beverages,Online,L,2023-05-13,943077,2023-05-15,440,197.77,99.08,87018.8,43595.2,43423.6
North America,Canada,Baby Food,Online,C,2023-05-18,553215,2023-05-30,361,46.69,23.89,16855.09,8624.29,8230.8
Middle East,Turkey,Baby Food,Offline,L,2023-05-24,995070,2023-06-08,130,56.73,49.65,7374.9,6454.5,920.4
Sub-Saharan Africa,Nigeria,Clothing,Offline,C,2023-12-21,265382,2023-12-29,149,128.72,101.29,19179.28,15092.21,4087.07
Middle East,Turkey,Beverages,Online,L,2023-07-17,501094,2023-08-01,202,182.52,148.29,36869.04,29954.58,6914.46
Sub-Saharan Africa,Ghana,Baby Food,Online,M,2023-05-11,284035,2023-05-20,258,194.73,108.21,50240.34,27918.18,22322.16
Asia,Japan,Baby Food,Offline,M,2023-01-22,573613,2023-02-06,477,70.23,54.46,33499.71,25977.42,7522.29
Sub-Saharan Africa,South Africa,Office Supplies,Online,C,2023-12-06,122461,2023-12-11,265,97.75,84.54,25903.75,22403.1,3500.65
Europe,Germany,Office Supplies,Offline,H,2023-12-13,955785,2023-12-17,366,42.37,33.31,15507.42,12191.46,3315.96
Europe,United Kingdom,Electronics,Offline,M,2023-07-15,774431,2023-07-17,17,131.87,103.66,2241.79,1762.22,479.57
North America,United States,Beverages,Online,L,2023-11-08,471793,2023-11-14,53,136.17,96.34,7217.01,5106.02,2110.99
Europe,Spain,Clothing,Online,L,2023-03-15,310551,2023-03-23,153,168.85,92.26,25834.05,14115.78,11718.27
Asia,Japan,Baby Food,Online,L,2023-08-27,705173,2023-09-11,497,25.51,15.07,12678.47,7489.79,5188.68
Sub-Saharan Africa,Nigeria,Electronics,Offline,M,2023-07-16,192346,2023-07-29,220,82.46,60.22,18141.2,13248.4,4892.8
Middle East,UAE,Household,Online,C,2023-03-28,632300,2023-04-12,251,92.01,49.55,23094.51,12437.05,10657.46
South America,Brazil,Clothing,Online,M,2023-04-28,151321,2023-05-13,379,154.48,121.89,58547.92,46196.31,12351.61
Sub-Saharan Africa,Ghana,Electronics,Online,H,2023-12-14,334466,2023-12-24,317,75.45,48.35,23917.65,15326.95,8590.7
North America,Mexico,Electronics,Online,M,2023-09-16,963169,2023-09-30,144,12.67,8.53,1824.48,1228.32,596.16
Asia,China,Baby Food,Online,M,2023-07-24,272844,2023-07-26,235,127.13,77.32,29875.55,18170.2,11705.35
North America,Canada,Beverages,Online,M,2023-08-29,753717,2023-09-09,230,115.45,80.81,26553.5,18586.3,7967.2
South America,Argentina,Clothing,Online,L,2023-02-23,323637,2023-03-07,311,162.4,121.71,50506.4,37851.81,12654.59
North America,Mexico,Beverages,Offline,C,2023-01-10,994470,2023-01-23,428,115.55,78.57,49455.4,33627.96,15827.44
Middle East,UAE,Baby Food,Offline,M,2023-03-25,866006,2023-04-08,220,60.1,38.56,13222.0,8483.2,4738.8
Asia,South Korea,Clothing,Offline,L,2023-01-06,364253,2023-01-12,240,99.47,65.97,23872.8,15832.8,8040.0
Middle East,UAE,Clothing,Online,C,2023-07-22,580348,2023-08-05,193,8.5,6.54,1640.5,1262.22,378.28
Asia,South Korea,Electronics,Online,H,2023-06-04,681108,2023-06-16,434,69.28,52.62,30067.52,22837.08,7230.44
Middle East,Turkey,Beverages,Online,C,2023-04-19,960967,2023-04-21,330,189.0,139.43,62370.0,46011.9,16358.1
Middle East,Saudi Arabia,Clothing,Offline,H,2023-08-17,301301,2023-08-31,481,89.14,80.08,42876.34,38518.48,4357.86
Asia,India,Baby Food,Offline,L,2023-12-20,444597,2023-12-30,231,131.51,89.23,30378.81,20612.13,9766.68
Europe,United Kingdom,Household,Online,H,2023-12-15,416984,2023-12-28,126,17.14,10.45,2159.64,1316.7,842.94
Middle East,UAE,Clothing,Offline,L,2023-09-15,288470,2023-09-26,379,106.43,54.44,40336.97,20632.76,19704.21
Asia,China,Office Supplies,Offline,M,2023-09-09,142854,2023-09-14,431,167.0,114.2,71977.0,49220.2,22756.8
North America,Canada,Electronics,Online,C,2023-12-09,669025,2023-12-18,30,146.69,88.54,4400.7,2656.2,1744.5
South America,Chile,Household,Online,H,2023-09-06,580727,2023-09-21,293,60.95,50.62,17858.35,14831.66,3026.69
North America,Mexico,Clothing,Online,M,2023-02-08,266469,2023-02-14,136,102.5,55.38,13940.0,7531.68,6408.32
Asia,Japan,Electronics,Online,L,2023-05-02,786673,2023-05-07,362,40.02,27.7,14487.24,10027.4,4459.84
South America,Colombia,Office Supplies,Online,L,2023-09-22,454643,2023-09-25,438,106.0,72.79,46428.0,31882.02,14545.98
North America,Mexico,Household,Online,H,2023-03-23,497361,2023-04-06,304,91.12,68.41,27700.48,20796.64,6903.84
Sub-Saharan Africa,Kenya,Household,Online,M,2023-07-04,518681,2023-07-16,271,124.66,100.48,33782.86,27230.08,6552.78
North America,Mexico,Electronics,Offline,M,2023-09-29,662226,2023-10-01,63,74.34,37.21,4683.42,2344.23,2339.19
Middle East,UAE,Office Supplies,Offline,H,2023-06-23,193808,2023-06-25,229,155.43,82.04,35593.47,18787.16,16806.31
Sub-Saharan Africa,Ghana,Baby Food,Online,C,2023-02-07,375779,2023-02-13,258,112.63,92.06,29058.54,23751.48,5307.06
Middle East,UAE,Beverages,Offline,L,2023-01-20,376395,2023-02-04,398,32.55,26.05,12954.9,10367.9,2587.0
South America,Chile,Office Supplies,Offline,L,2023-01-13,932551,2023-01-26,208,161.52,84.47,33596.16,17569.76,16026.4
Middle East,Saudi Arabia,Household,Online,C,2023-11-19,276412,2023-11-28,379,21.36,12.37,8095.44,4688.23,3407.21
Europe,Spain,Clothing,Offline,C,2023-08-10,960939,2023-08-16,275,49.48,30.02,13607.0,8255.5,5351.5
Sub-Saharan Africa,Ghana,Beverages,Offline,M,2023-03-17,798742,2023-03-22,430,130.24,66.82,56003.2,28732.6,27270.6
Sub-Saharan Africa,Kenya,Electronics,Online,C,2023-04-17,403965,2023-04-27,322,183.18,125.51,58983.96,40414.22,18569.74
Middle East,Saudi Arabia,Household,Online,C,2023-08-25,885809,2023-09-09,263,111.56,63.34,29340.28,16658.42,12681.86
Asia,Japan,Electronics,Online,L,2023-10-20,548000,2023-10-27,220,35.89,25.33,7895.8,5572.6,2323.2
Sub-Saharan Africa,Kenya,Clothing,Offline,L,2023-02-02,208446,2023-02-06,450,58.08,43.38,26136.0,19521.0,6615.0
Sub-Saharan Africa,South Africa,Household,Online,L,2023-08-13,786941,2023-08-16,300,9.33,7.24,2799.0,2172.0,627.0
South America,Brazil,Household,Offline,C,2023-05-07,680350,2023-05-09,65,160.46,82.85,10429.9,5385.25,5044.65
Sub-Saharan Africa,Kenya,Baby Food,Online,H,2023-10-30,826096,2023-11-02,314,186.32,96.5,58504.48,30301.0,28203.48
North America,United States,Baby Food,Offline,H,2023-06-03,403746,2023-06-15,70,93.7,77.53,6559.0,5427.1,1131.9
South America,Colombia,Electronics,Online,C,2023-11-22,717209,2023-12-01,156,8.55,6.47,1333.8,1009.32,324.48
Europe,France,Beverages,Online,M,2023-03-09,507251,2023-03-20,217,41.64,29.42,9035.88,6384.14,2651.74
Middle East,Turkey,Electronics,Online,M,2023-05-07,618275,2023-05-16,65,71.42,57.05,4642.3,3708.25,934.05
South America,Chile,Household,Offline,M,2023-08-09,529815,2023-08-17,120,111.28,98.21,13353.6,11785.2,1568.4
South America,Chile,Office Supplies,Online,H,2023-05-26,415854,2023-05-28,497,84.79,64.87,42140.63,32240.39,9900.24
Asia,Japan,Beverages,Online,L,2023-11-30,918168,2023-12-06,168,23.35,20.95,3922.8,3519.6,403.2
Asia,Japan,Baby Food,Online,H,2023-05-15,601787,2023-05-18,18,67.29,58.93,1211.22,1060.74,150.48
Middle East,Turkey,Household,Online,M,2023-02-22,469062,2023-02-26,421,43.28,38.46,18220.88,16191.66,2029.22
Asia,China,Beverages,Offline,L,2023-03-17,121763,2023-03-20,113,33.82,22.9,3821.66,2587.7,1233.96
South America,Argentina,Baby Food,Offline,C,2023-01-07,728218,2023-01-16,138,108.6,77.31,14986.8,10668.78,4318.02
Middle East,UAE,Household,Offline,C,2023-05-21,480309,2023-06-04,447,56.37,44.26,25197.39,19784.22,5413.17
Europe,United Kingdom,Household,Offline,M,2023-10-03,149362,2023-10-12,235,51.7,41.04,12149.5,9644.4,2505.1
North America,Canada,Office Supplies,Online,L,2023-10-01,719202,2023-10-11,44,56.29,33.49,2476.76,1473.56,1003.2
Asia,India,Office Supplies,Offline,L,2023-08-17,485088,2023-08-19,369,192.31,99.24,70962.39,36619.56,34342.83
Asia,India,Household,Online,L,2023-02-04,235510,2023-02-08,286,45.5,32.98,13013.0,9432.28,3580.72
Sub-Saharan Africa,Nigeria,Household,Offline,H,2023-06-23,241794,2023-06-30,437,162.82,126.12,71152.34,55114.44,16037.9
Sub-Saharan Africa,Ghana,Baby Food,Offline,C,2023-07-06,917398,2023-07-11,440,183.88,162.57,80907.2,71530.8,9376.4
Middle East,Saudi Arabia,Baby Food,Online,L,2023-10-31,762417,2023-11-14,26,90.53,55.04,2353.78,1431.04,922.74
North America,Mexico,Office Supplies,Online,M,2023-06-08,779916,2023-06-17,252,47.05,24.25,11856.6,6111.0,5745.6
Sub-Saharan Africa,Ghana,Office Supplies,Offline,H,2023-07-20,996785,2023-07-31,428,20.98,16.6,8979.44,7104.8,1874.64
Sub-Saharan Africa,South Africa,Baby Food,Offline,L,2023-11-07,333622,2023-11-20,478,199.2,151.92,95217.6,72617.76,22599.84
Sub-Saharan Africa,Ghana,Office Supplies,Online,H,2023-07-21,872933,2023-07-25,233,171.79,107.71,40027.07,25096.43,14930.64
Middle East,Turkey,Clothing,Offline,C,2023-05-25,805019,2023-06-06,77,158.62,131.55,12213.74,10129.35,2084.39
Asia,Japan,Clothing,Online,M,2023-10-19,330798,2023-11-01,432,153.44,132.67,66286.08,57313.44,8972.64
Asia,India,Beverages,Online,C,2023-11-25,276943,2023-12-05,267,62.07,43.14,16572.69,11518.38,5054.31
South America,Colombia,Household,Offline,C,2023-06-17,643012,2023-06-19,427,93.73,75.11,40022.71,32071.97,7950.74
South America,Brazil,Baby Food,Online,L,2023-09-28,823594,2023-10-13,39,11.48,6.55,447.72,255.45,192.27
Europe,Germany,Household,Online,H,2023-06-03,978544,2023-06-07,275,105.0,64.88,28875.0,17842.0,11033.0
Asia,China,Beverages,Online,H,2023-06-02,268499,2023-06-11,351,58.59,50.49,20565.09,17721.99,2843.1
Middle East,UAE,Office Supplies,Offline,L,2023-03-17,203034,2023-03-27,123,23.92,12.05,2942.16,1482.15,1460.01
Middle East,UAE,Baby Food,Offline,M,2023-01-29,991836,2023-02-04,151,73.12,49.85,11041.12,7527.35,3513.77
North America,Mexico,Office Supplies,Online,L,2023-08-22,975522,2023-09-06,170,109.47,56.76,18609.9,9649.2,8960.7
North America,United States,Household,Offline,H,2023-12-07,328760,2023-12-19,496,127.27,87.36,63125.92,43330.56,19795.36
North America,Canada,Clothing,Offline,C,2023-12-18,608598,2024-01-02,225,74.2,48.17,16695.0,10838.25,5856.75
Europe,France,Beverages,Offline,C,2023-09-07,573580,2023-09-10,289,132.53,105.58,38301.17,30512.62,7788.55
Sub-Saharan Africa,Kenya,Baby Food,Offline,C,2023-09-18,804523,2023-09-30,289,116.15,91.23,33567.35,26365.47,7201.88
Asia,Japan,Beverages,Offline,L,2023-08-15,704921,2023-08-24,395,12.02,8.68,4747.9,3428.6,1319.3
Middle East,UAE,Household,Online,H,2023-07-05,637262,2023-07-12,270,25.17,18.01,6795.9,4862.7,1933.2
Sub-Saharan Africa,Nigeria,Electronics,Online,C,2023-04-30,541827,2023-05-08,79,133.4,99.65,10538.6,7872.35,2666.25
Asia,China,Office Supplies,Offline,C,2023-05-18,666858,2023-05-22,86,161.27,144.5,13869.22,12427.0,1442.22
Europe,France,Baby Food,Offline,H,2023-02-01,771826,2023-02-11,203,107.14,82.38,21749.42,16723.14,5026.28
Asia,South Korea,Household,Online,H,2023-05-24,161143,2023-06-04,207,176.27,144.73,36487.89,29959.11,6528.78
North America,United States,Electronics,Offline,M,2023-05-08,972354,2023-05-21,367,116.58,85.65,42784.86,31433.55,11351.31
South America,Argentina,Beverages,Offline,C,2023-03-25,985033,2023-03-27,236,189.17,99.0,44644.12,23364.0,21280.12
Asia,India,Beverages,Offline,H,2023-07-24,682608,2023-08-03,163,94.06,70.15,15331.78,11434.45,3897.33
Asia,China,Clothing,Offline,C,2023-02-20,592705,2023-03-04,182,7.71,5.79,1403.22,1053.78,349.44
Sub-Saharan Africa,Nigeria,Office Supplies,Online,M,2023-11-12,209781,2023-11-17,171,150.61,120.28,25754.31,20567.88,5186.43
Asia,India,Clothing,Offline,M,2023-08-10,953438,2023-08-22,281,181.28,159.61,50939.68,44850.41,6089.27
Asia,South Korea,Household,Offline,C,2023-10-29,311651,2023-11-06,208,171.99,107.3,35773.92,22318.4,13455.52
Asia,South Korea,Baby Food,Offline,H,2023-06-01,505727,2023-06-16,447,19.63,14.37,8774.61,6423.39,2351.22
Sub-Saharan Africa,Ghana,Electronics,Online,M,2023-03-30,956008,2023-04-02,49,5.07,3.84,248.43,188.16,60.27
North America,Mexico,Office Supplies,Online,M,2023-06-26,575207,2023-07-08,359,129.86,90.85,46619.74,32615.15,14004.59
South America,Chile,Household,Offline,L,2023-01-05,323660,2023-01-14,126,70.53,49.15,8886.78,6192.9,2693.88
North America,Canada,Household,Offline,H,2023-09-01,298045,2023-09-16,20,15.58,9.32,311.6,186.4,125.2
South America,Colombia,Clothing,Offline,H,2023-11-27,525605,2023-12-10,283,197.63,177.6,55929.29,50260.8,5668.49
North America,Mexico,Office Supplies,Offline,C,2023-10-06,402501,2023-10-15,170,101.5,75.79,17255.0,12884.3,4370.7
North America,United States,Beverages,Offline,C,2023-12-19,567828,2023-12-22,196,158.35,83.58,31036.6,16381.68,14654.92
South America,Brazil,Household,Offline,M,2023-06-22,910733,2023-06-26,265,15.71,9.47,4163.15,2509.55,1653.6
South America,Chile,Office Supplies,Online,L,2023-05-22,432501,2023-05-30,61,175.53,93.79,10707.33,5721.19,4986.14
Sub-Saharan Africa,Kenya,Electronics,Online,L,2023-02-14,171861,2023-02-26,86,40.27,29.89,3463.22,2570.54,892.68
South America,Brazil,Beverages,Offline,H,2023-04-16,860666,2023-04-23,18,184.46,129.03,3320.28,2322.54,997.74
Middle East,Turkey,Electronics,Offline,H,2023-04-12,309447,2023-04-27,101,88.55,46.71,8943.55,4717.71,4225.84
North America,Canada,Office Supplies,Offline,C,2023-11-25,242473,2023-12-01,348,12.67,9.51,4409.16,3309.48,1099.68
North America,United States,Electronics,Online,C,2023-12-06,898236,2023-12-19,30,165.38,90.18,4961.4,2705.4,2256.0
South America,Chile,Office Supplies,Offline,H,2023-10-25,675878,2023-10-30,491,139.08,87.84,68288.28,43129.44,25158.84
North America,United States,Baby Food,Offline,M,2023-06-12,941470,2023-06-18,397,116.22,66.44,46139.34,26376.68,19762.66
South America,Colombia,Electronics,Online,H,2023-05-16,542309,2023-05-30,422,188.11,105.42,79382.42,44487.24,34895.18
North America,Canada,Beverages,Online,L,2023-05-19,827856,2023-05-27,177,90.35,69.11,15991.95,12232.47,3759.48
Sub-Saharan Africa,South Africa,Beverages,Online,H,2023-07-26,702654,2023-08-06,243,119.22,89.13,28970.46,21658.59,7311.87
Sub-Saharan Africa,Ghana,Electronics,Offline,C,2023-08-26,785750,2023-09-10,123,187.03,125.33,23004.69,15415.59,7589.1
Europe,United Kingdom,Beverages,Online,L,2023-12-29,776510,2024-01-01,28,82.35,54.73,2305.8,1532.44,773.36
South America,Chile,Office Supplies,Online,H,2023-01-22,311891,2023-02-02,365,104.5,52.69,38142.5,19231.85,18910.65
Sub-Saharan Africa,South Africa,Clothing,Offline,C,2023-01-24,835726,2023-01-28,202,50.74,44.47,10249.48,8982.94,1266.54
North America,Mexico,Office Supplies,Offline,M,2023-10-23,859178,2023-11-01,374,43.47,33.26,16257.78,12439.24,3818.54
North America,Mexico,Electronics,Offline,H,2023-01-16,985879,2023-01-22,26,106.25,78.79,2762.5,2048.54,713.96
Middle East,Saudi Arabia,Beverages,Online,M,2023-01-18,729591,2023-02-01,397,44.03,26.24,17479.91,10417.28,7062.63
North America,Mexico,Office Supplies,Online,H,2023-08-17,696776,2023-08-22,188,106.6,88.63,20040.8,16662.44,3378.36
South America,Chile,Electronics,Online,M,2023-04-05,188595,2023-04-17,448,149.69,114.08,67061.12,51107.84,15953.28
Middle East,UAE,Beverages,Online,M,2023-04-12,161290,2023-04-14,266,184.58,137.98,49098.28,36702.68,12395.6
North America,United States,Clothing,Offline,C,2023-09-08,912771,2023-09-14,174,69.97,42.56,12174.78,7405.44,4769.34
North America,United States,Electronics,Online,L,2023-12-31,119777,2024-01-07,368,36.54,20.09,13446.72,7393.12,6053.6
South America,Chile,Clothing,Online,L,2023-11-02,570151,2023-11-15,351,173.63,118.09,60944.13,41449.59,19494.54
Europe,Spain,Electronics,Online,H,2023-08-04,273279,2023-08-13,378,162.86,122.98,61561.08,46486.44,15074.64
Sub-Saharan Africa,Nigeria,Clothing,Online,C,2023-12-04,933056,2023-12-18,286,183.19,146.18,52392.34,41807.48,10584.86
South America,Argentina,Office Supplies,Online,H,2023-05-23,530547,2023-05-26,210,5.46,2.75,1146.6,577.5,569.1
Asia,China,Household,Online,M,2023-10-14,178415,2023-10-23,172,63.44,38.29,10911.68,6585.88,4325.8
North America,United States,Office Supplies,Offline,L,2023-07-17,866501,2023-07-25,393,16.82,8.58,6610.26,3371.94,3238.32
North America,Canada,Beverages,Online,C,2023-12-30,431415,2024-01-10,238,41.28,25.1,9824.64,5973.8,3850.84
Asia,Japan,Office Supplies,Online,M,2023-11-04,130595,2023-11-18,380,30.64,17.62,11643.2,6695.6,4947.6
